,title_name,title_id,season_number,offering_start_date,content_category,program_type,air_date,medal,pillar_genre
5837,The Sopranos,GVU2b9AHpHo7DwvwIAT4i,1,2020-05-27,series,original,1999-04-04,None,Drama
21053,The Sopranos,GVU2b9AHpHo7DwvwIAT4i,2,2020-05-27,series,original,2000-04-09,None,Drama
40742,The Sopranos,GVU2b9AHpHo7DwvwIAT4i,3,2020-05-27,series,original,2001-05-20,None,Drama
60224,The Sopranos,GVU2b9AHpHo7DwvwIAT4i,4,2020-05-27,series,original,2002-12-08,None,Drama
38723,The Sopranos,GVU2b9AHpHo7DwvwIAT4i,5,2020-05-27,series,original,2004-06-06,None,Drama
85440,The Sopranos,GVU2b9AHpHo7DwvwIAT4i,6,2020-05-27,series,original,2007-06-10,None,Drama
57512,Curb Your Enthusiasm,GVU2bygQ1go7DwvwIAT3r,1,2020-05-27,series,original,2000-12-17,None,Comedy
1337,Curb Your Enthusiasm,GVU2bygQ1go7DwvwIAT3r,2,2020-05-27,series,original,2001-11-25,None,Comedy
66780,Curb Your Enthusiasm,GVU2bygQ1go7DwvwIAT3r,3,2020-05-27,series,original,2002-11-17,None,Comedy
78008,Curb Your Enthusiasm,GVU2bygQ1go7DwvwIAT3r,4,2020-05-27,series,original,2004-03-14,None,Comedy
35971,Curb Your Enthusiasm,GVU2bygQ1go7DwvwIAT3r,5,2020-05-27,series,original,2005-12-04,None,Comedy
1444,Curb Your Enthusiasm,GVU2bygQ1go7DwvwIAT3r,6,2020-05-27,series,original,2007-11-11,None,Comedy
470088,Curb Your Enthusiasm,GVU2bygQ1go7DwvwIAT3r,7,2020-05-27,series,original,2009-11-22,None,Comedy
18772,Curb Your Enthusiasm,GVU2bygQ1go7DwvwIAT3r,8,2020-05-27,series,original,2011-09-11,None,Comedy
20044,Curb Your Enthusiasm,GVU2bygQ1go7DwvwIAT3r,9,2020-05-27,series,original,2017-11-26,None,Comedy
200107,Curb Your Enthusiasm,GVU2bygQ1go7DwvwIAT3r,10,2020-05-27,series,original,2020-03-22,None,Comedy
479944,Curb Your Enthusiasm,GVU2bygQ1go7DwvwIAT3r,11,2021-10-25,series,original,2021-12-26,Silver,Comedy
100088,Sex and the City,GVU2cAAPSJoNJjhsJATt6,1,2020-05-27,series,original,1998-08-23,None,Comedy
90794,Sex and the City,GVU2cAAPSJoNJjhsJATt6,2,2020-05-27,series,original,1999-10-03,None,Comedy
5025,Sex and the City,GVU2cAAPSJoNJjhsJATt6,3,2020-05-27,series,original,2000-10-15,None,Comedy
15295,Sex and the City,GVU2cAAPSJoNJjhsJATt6,4,2020-05-27,series,original,2002-02-10,None,Comedy
16474,Sex and the City,GVU2cAAPSJoNJjhsJATt6,5,2020-05-27,series,original,2002-09-08,None,Comedy
42961,Sex and the City,GVU2cAAPSJoNJjhsJATt6,6,2020-05-27,series,original,2004-02-22,None,Comedy
96861,Game of Thrones,GVU2cggagzYNJjhsJATwo,1,2020-05-27,series,original,2011-06-19,None,Drama
291643,Game of Thrones,GVU2cggagzYNJjhsJATwo,2,2020-05-27,series,original,2012-06-03,None,Drama
41657,Game of Thrones,GVU2cggagzYNJjhsJATwo,3,2020-05-27,series,original,2013-06-09,None,Drama
57266,Game of Thrones,GVU2cggagzYNJjhsJATwo,4,2020-05-27,series,original,2014-06-15,None,Drama
111544,Game of Thrones,GVU2cggagzYNJjhsJATwo,5,2020-05-27,series,original,2015-06-14,None,Drama
2334,Game of Thrones,GVU2cggagzYNJjhsJATwo,6,2020-05-27,series,original,2016-06-26,None,Drama
8883,Game of Thrones,GVU2cggagzYNJjhsJATwo,7,2020-05-27,series,original,2017-08-27,None,Drama
185266,Game of Thrones,GVU2cggagzYNJjhsJATwo,8,2020-05-27,series,original,2019-05-19,None,Drama
236695,American Pie,GVr43zAiThbTCYe0IAAB0,0,2020-05-27,movies,acquired,1999-01-01,None,Comedy
48420,War Dogs,GWKutcAsxdrnCwgEAAABl,0,2020-05-27,movies,acquired,2016-08-19,None,Drama
12722,Pretty Little Liars,GXdMTbQrnTaXCPQEAAA9W,1,2020-05-27,series,acquired,2011-01-01,None,Drama
29,Pretty Little Liars,GXdMTbQrnTaXCPQEAAA9W,2,2020-05-27,series,acquired,2012-01-01,None,Drama
56769,Pretty Little Liars,GXdMTbQrnTaXCPQEAAA9W,3,2020-05-27,series,acquired,2012-01-01,None,Drama
7767,Pretty Little Liars,GXdMTbQrnTaXCPQEAAA9W,4,2020-05-27,series,acquired,2013-01-01,None,Drama
40549,Pretty Little Liars,GXdMTbQrnTaXCPQEAAA9W,5,2020-05-27,series,acquired,2015-01-01,None,Drama
36387,Pretty Little Liars,GXdMTbQrnTaXCPQEAAA9W,6,2020-05-27,series,acquired,2015-01-01,None,Drama
7005,Pretty Little Liars,GXdMTbQrnTaXCPQEAAA9W,7,2020-05-27,series,acquired,2017-01-01,None,Drama
19062,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,1,2020-05-27,series,acquired,2008-01-01,None,Comedy
215416,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,2,2020-05-27,series,acquired,2009-01-01,None,Comedy
29239,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,3,2020-05-27,series,acquired,2010-01-01,None,Comedy
29927,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,4,2020-05-27,series,acquired,2011-01-01,None,Comedy
17518,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,5,2020-05-27,series,acquired,2012-01-01,None,Comedy
66278,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,6,2020-05-27,series,acquired,2013-01-01,None,Comedy
184983,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,7,2020-05-27,series,acquired,2014-01-01,None,Comedy
303129,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,8,2020-05-27,series,acquired,2015-01-01,None,Comedy
59346,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,9,2020-05-27,series,acquired,2016-01-01,None,Comedy
5507,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,10,2020-05-27,series,acquired,2017-01-01,None,Comedy
26837,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,11,2020-05-27,series,acquired,2017-01-01,None,Comedy
45755,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,12,2020-05-27,series,acquired,2018-01-01,None,Comedy
7878,Friends,GXdbR_gOXWJuAuwEAACVH,1,2020-05-27,series,acquired,1995-01-01,None,Comedy
16322,Friends,GXdbR_gOXWJuAuwEAACVH,2,2020-05-27,series,acquired,1996-01-01,None,Comedy
41165,Friends,GXdbR_gOXWJuAuwEAACVH,3,2020-05-27,series,acquired,1997-01-01,None,Comedy
49341,Friends,GXdbR_gOXWJuAuwEAACVH,4,2020-05-27,series,acquired,1998-01-01,None,Comedy
16976,Friends,GXdbR_gOXWJuAuwEAACVH,5,2020-05-27,series,acquired,1999-01-01,None,Comedy
61027,Friends,GXdbR_gOXWJuAuwEAACVH,6,2020-05-27,series,acquired,2000-01-01,None,Comedy
3672,Friends,GXdbR_gOXWJuAuwEAACVH,7,2020-05-27,series,acquired,2001-01-01,None,Comedy
6001,Friends,GXdbR_gOXWJuAuwEAACVH,8,2020-05-27,series,acquired,2002-01-01,None,Comedy
30506,Friends,GXdbR_gOXWJuAuwEAACVH,9,2020-05-27,series,acquired,2003-01-01,None,Comedy
366898,Friends,GXdbR_gOXWJuAuwEAACVH,10,2020-05-27,series,acquired,2004-01-01,None,Comedy
34961,Annabelle Comes Home,GXerC0w8A4rPDfgEAABA_,0,2020-05-27,movies,acquired,2019-06-28,None,Horror 
511581,X-Men: Dark Phoenix,GXhzsPQW3_h_DTgEAAADV,0,2020-05-27,movies,acquired,2019-06-07,None,Action/Adventure 
