,hours_viewed_bin,churn,uuid_count,cancel_count
1,0.148,0.1498105427393291,35892,5377
4,0.202,0.14806442497880756,35390,5240
7,0.274,0.14496126314549151,33947,4921
10,0.346,0.14120104122525576,33038,4665
13,0.41900000000000004,0.14351794745281854,32428,4654
16,0.502,0.14260899774187946,34542,4926
19,0.5885,0.141259581283606,34964,4939
22,0.6695,0.14283123791102514,33088,4726
25,0.7364999999999999,0.14179330054134265,36391,5160
28,0.8029999999999999,0.1443713253142025,37078,5353
31,0.868,0.14012079861305296,35762,5011
34,0.9319999999999999,0.1375346077785102,37925,5216
37,0.9949999999999999,0.13451914849482718,38567,5188
40,1.06,0.13291861349559927,36812,4893
43,1.1364999999999998,0.13666469226212913,37142,5076
46,1.2245,0.13700509087072354,37911,5194
49,1.3225,0.13588317473706407,37937,5155
52,1.4260000000000002,0.13488859764089123,38150,5146
55,1.5325,0.13752117746717493,37776,5195
58,1.639,0.13588046254841102,36407,4947
61,1.7415,0.13437253354380427,35476,4767
64,1.8475000000000001,0.13195763616019152,38429,5071
66,1.9605,0.1341539420380181,38508,5166
68,2.0785,0.13099934683213585,38275,5014
71,2.2035,0.13471340076844665,38259,5154
73,2.335,0.13703491102645723,38326,5252
75,2.4705000000000004,0.13287499346473572,38254,5083
77,2.6105,0.13313947450410218,38516,5128
79,2.7560000000000002,0.13063051408760445,38651,5049
81,2.9065000000000003,0.12876890975482524,38340,4937
83,3.061,0.13340546817270135,37892,5055
85,3.221,0.13015534334261403,38431,5002
87,3.3865,0.12891702345617398,38071,4908
89,3.556,0.13185623365991497,37867,4993
92,3.7325,0.1329191573781618,38309,5092
94,3.9145000000000003,0.13036716834919213,37939,4946
96,4.0975,0.13067750677506776,36900,4822
98,4.285,0.13030867482703565,37580,4897
100,4.484500000000001,0.12712623097582812,39095,4970
102,4.696,0.12836718570809655,39239,5037
104,4.9165,0.1259854495677964,39449,4970
106,5.1465,0.12734780200412912,39718,5058
108,5.3865,0.1276595744680851,40185,5130
110,5.6370000000000005,0.12790755467196818,40240,5147
112,5.8965,0.12567010054596212,40479,5087
114,6.164999999999999,0.12695052916564115,40630,5158
116,6.4435,0.12426166025342517,40801,5070
118,6.7325,0.12804072243159903,40862,5232
120,7.0295000000000005,0.12459416575125107,40965,5104
122,7.334,0.12422299685542257,41023,5096
124,7.651,0.12382853387210632,41081,5087
126,7.98,0.12523673092798523,41186,5158
128,8.318000000000001,0.12060264932796351,41218,4971
130,8.6645,0.12498183051504433,41278,5159
132,9.0235,0.12481250302414477,41334,5159
134,9.397,0.12078041242092045,41414,5002
136,9.7835,0.12224690880989181,41408,5062
138,10.182500000000001,0.12425308404009253,41504,5157
140,10.593,0.12076608046253914,41510,5013
142,11.0205,0.12190127442241441,41509,5060
144,11.467500000000001,0.12330349408027722,41556,5124
146,11.931000000000001,0.1203231701452342,41588,5004
148,12.410499999999999,0.1204671617042751,41613,5013
150,12.907,0.12248281828230884,41614,5097
152,13.4215,0.12097549255165786,41620,5035
154,13.957,0.1201382057249802,41677,5007
156,14.513,0.11948432323426321,41654,4977
158,15.088000000000001,0.12191258011089508,41661,5079
160,15.6845,0.11879194630872483,41720,4956
162,16.302,0.11843934237645592,41726,4942
164,16.945999999999998,0.11899165307493044,41692,4961
166,17.6145,0.11890945712641474,41704,4959
168,18.308999999999997,0.12001246882793018,41704,5005
170,19.037,0.11956287295995399,41727,4989
172,19.796,0.11710718650403777,41731,4887
174,20.5885,0.11657720693951884,41732,4865
176,21.416,0.11552934972795474,41721,4820
178,22.2795,0.11612408304166467,41714,4844
180,23.183999999999997,0.11553870882614015,41683,4816
182,24.131999999999998,0.1153412768813982,41711,4811
184,25.12,0.11535512316687434,41732,4814
186,26.1575,0.1142542072205974,41714,4766
188,27.2455,0.11371261503067484,41728,4745
190,28.3875,0.1115104466168296,41736,4654
192,29.589,0.11475684874050283,41723,4788
194,30.8565,0.1152132247244849,41740,4809
196,32.1925,0.11299056016100437,41738,4716
198,33.5895,0.11132662835249042,41760,4649
200,35.071,0.11157143541357345,41758,4659
202,36.655,0.11242490246295986,41779,4697
204,38.329499999999996,0.1127047217699454,41764,4707
206,40.1115,0.11227809943059476,41798,4693
208,42.037,0.11140615281565475,41802,4657
210,44.1205,0.10743168875915203,41794,4490
212,46.3965,0.10868577712960528,41827,4546
214,48.897999999999996,0.1080312552271261,41849,4521
216,51.6575,0.10884467480354455,41867,4557
218,54.7215,0.11086172727489793,41881,4643
220,58.167500000000004,0.10582869696029036,41879,4432
