date_month,viewing_sub_count,median_unique_title_count,average_title_view_count,average_hours_viewed
2022-08-01 00:00:00.000000,8396789,4.0,5.205625363978378,19.98982804383602
2021-05-01 00:00:00.000000,8557349,4.0,6.494287250141691,21.019741067013396
2021-12-01 00:00:00.000000,9326030,4.0,6.299142046600531,20.701218320067287
2020-11-01 00:00:00.000000,2376416,3.0,5.167610314183075,17.979613546808917
2021-01-01 00:00:00.000000,5174880,4.0,6.640861693244734,26.06373925370781
2023-01-01 00:00:00.000000,8382132,4.0,6.005185672906884,22.38145757709463
2021-06-01 00:00:00.000000,8788063,4.0,6.234007854289636,18.871134376131007
2020-07-01 00:00:00.000000,914261,4.0,5.852477736141281,25.110607243491817
2020-08-01 00:00:00.000000,1068444,4.0,5.675379640505595,22.475372854271953
2020-06-01 00:00:00.000000,692863,4.0,6.4312982057084795,25.784773308942402
2020-10-01 00:00:00.000000,1880957,3.0,4.7019492194934704,16.66253331090273
2022-11-01 00:00:00.000000,7983084,4.0,5.450228577047595,20.46130406831689
2023-04-01 00:00:00.000000,7430597,3.0,5.190931873854567,20.82854193690761
2023-02-01 00:00:00.000000,7995796,3.0,5.067134895995984,19.769384589150206
2022-04-01 00:00:00.000000,8936297,4.0,5.7210895384196006,19.976096498507744
2022-10-01 00:00:00.000000,8257828,3.0,4.96148854620264,19.626283519602232
2022-03-01 00:00:00.000000,9010766,4.0,5.728205934078642,20.583770262822828
2022-07-01 00:00:00.000000,7803729,3.0,5.26980405524025,19.461977803270145
2022-12-01 00:00:00.000000,8414199,4.0,6.1778652753678305,22.16966677616228
2023-05-01 00:00:00.000000,6501632,3.0,4.080243071240718,15.665287169352444
2021-02-01 00:00:00.000000,5254033,4.0,6.016585541699959,21.866869305325285
2023-11-01 00:00:00.000000,6819439,4.0,5.469041808277778,23.899242522096227
2023-10-01 00:00:00.000000,6846581,4.0,5.654782876299864,23.41844077499351
2024-03-01 00:00:00.000000,6514114,3.0,4.448693866886579,18.26270806176741
2023-07-01 00:00:00.000000,7266185,4.0,5.641405772079847,23.705731616233358
2024-02-01 00:00:00.000000,6733199,3.0,5.02483009933317,23.794252172447422
2023-12-01 00:00:00.000000,7068673,4.0,5.970707090284131,24.58063241228355
2023-06-01 00:00:00.000000,7492877,4.0,5.567338954049292,22.441360347255397
2024-01-01 00:00:00.000000,6937717,4.0,5.280555692888597,26.398435399816556
2023-09-01 00:00:00.000000,6803437,3.0,5.215602055255307,22.85997407921449
2023-08-01 00:00:00.000000,7128340,4.0,5.472062359539528,23.655588065256488
2023-05-01 00:00:00.000000,5318745,2.0,2.8057212744735835,8.365428758190308
2021-07-01 00:00:00.000000,8691085,4.0,5.809879916042713,18.580692485207514
2021-03-01 00:00:00.000000,6511152,4.0,6.30017033849458,22.33344422769877
2022-02-01 00:00:00.000000,9627228,4.0,5.631185567518961,20.132344136035186
2020-05-01 00:00:00.000000,20370,2.0,2.8273035197093908,7.112237222140483
2021-10-01 00:00:00.000000,8690248,4.0,6.01804206070505,19.877968698841975
2023-03-01 00:00:00.000000,7969811,3.0,5.153273000668021,20.275140163872415
2021-11-01 00:00:00.000000,8425368,4.0,5.511254047152119,19.38564385208934
2022-05-01 00:00:00.000000,8582205,4.0,5.611552903763904,19.77065796305544
2021-04-01 00:00:00.000000,8714031,5.0,6.890455302436346,21.981482919495544
2022-06-01 00:00:00.000000,8131297,4.0,5.275477666665273,18.028455828753362
2020-09-01 00:00:00.000000,1310587,3.0,4.704904973950624,19.81325831446443
2022-09-01 00:00:00.000000,8473377,3.0,4.916558897761908,20.423618028494726
2021-08-01 00:00:00.000000,8867038,4.0,5.996333499830101,19.973005297647806
2022-01-01 00:00:00.000000,10002512,5.0,6.616326117246736,23.59316466937219
2021-09-01 00:00:00.000000,8462341,4.0,5.787503152200656,19.123091498750707
2020-12-01 00:00:00.000000,4513217,4.0,5.639406959734717,19.390427320858144
